Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Coordinates,Latitude,Longitude
3/6/1987,19:10," Almaty, Kazakhstan",Aeroflot,,,Antonov An-26,CCCP-26007,9901,9,9,0,The cargo plane struck the side of a mountain while setting up for the approach. The ATC didn't monitor the plane for at least  2 minutes after observing the plane taking a wrong course. When the ATC tried to contact the plane to tell them of the mistake the crew never responded because communications in the vicinity of the mountain blocked the signal.,"43.2220146,76.8512485",43.2220146,76.8512485
3/4/1987,14:34,"Detroit, Michigan",Northwest Airlink,2268,Cleveland - Detroit,CASA 212 Aviocar 200,N160FB,160,22,9,0,"While approaching to land the plane suddenly yawed to the left, rolled right and struck ground left of the runway. It then skidded into 3 ground vehicles and caught fire. The captain's inability to control the airplane in an attempt to recover from an asymmetripower condition at low speed following his intentional use of the beta mode of propeller operation to descend and slow the airplane rapidly on final approach for landing. The fatalities were attributed to a post crash fire, lack of fire-blocking material, and poorly designed aircraft components. Improper use of powerplant controls. Improper maintenance adjustment.","42.3314270,-83.0457538",42.331427,-83.0457538
1/16/1987,8:11,"Tashkent, Uzbekistan",Aeroflot,,,Yakovlev YAK-40,CCCP-87618,9131918,9,9,0,"While taking off, the aircraft banked sharply to the left and crashed. Encounted a wake vortex from another aircraft.","41.2994958,69.2400734",41.2994958,69.2400734
12/12/1986,,"Berlin, East Germany",Aeroflot,,Minsk - Berlin,Tupolev TU-134A,CCCP-65795,63145,82,70,0,The aircraft crashed after landing on the wrong runway in fog. The crew did not understand the English instructions that the right runway was closed for repairs.,"52.5200066,13.4049540",52.5200066,13.404954
10/20/1986,15:50,"Kuybyshev, Russia",Aeroflot,,Yekaterinburg - Kuybyshev,Tupolev TU-134A,CCCP-65766,62327,92,70,0,The plane crashed and burst into flames after a straight-in hard landing without leveling off.,"53.2037720,50.1606382",53.203772,50.1606382
10/14/1986,,"Ust-Maya, USSR",Aeroflot,,,LET 410MT Turbojet,CCCP-67264,780905,14,14,0,Crashed into river on takeoff.,"60.3833330,134.4500000",60.383333,134.45
7/2/1986,10:27," Syktyvar, Russia",Aeroflot,,,Tupolev TU-134A,CCCP-65120,60482,94,54,0,The aircraft crashed in a forest after an in-flight fire caused by baggage that ignited in the rear cargo hold led to loss of contol of the aircraft.,"61.6641145,50.8168773",61.6641145,50.8168773
6/22/1986,21:35,"Penza,  Russia",Aeroflot,,Penza - Simferopol,Tupolev TU-134A,CCCP-65142,60955,59,1,0,The aircraft overan the runway after an aborted takeoff. Passenger died of heart attack.,"53.2272903,45.0000000",53.2272903,45
6/10/1986,," Cairo, Egypt",EgyptAir,,Cairo - Alexandia,Fokker F-27 Friendship 500,SU-GAD,10659,26,23,0,Crashed short of runway and collided with a building during a sandstorm.,"30.0444196,31.2357116",30.0444196,31.2357116
5/17/1986,,"Hanty-Mansijsk, Soviet Union",Aeroflot,,Test,Yakovlev Yak-40,CCCP-87301,9321728,5,5,0,Crashed on a test flight.,"61.0060570,69.0312136",61.006057,69.0312136
3/2/1986,3:03," Bugulma, Russia",Aeroflot,,,Antonov AN-24B,CCCP-46423,7304108,38,38,0,"The aircraft entered a left bank and turn, stalled and crashed 5 miles short of the runway. Failure of the autofeather sensor circuit breaker caused propellers to feather.","54.5298899,52.8038510",54.5298899,52.803851
11/24/1985,20:15,"Luqa, Malta",EgyptAir,648,Athens - Cairo,Boeing B-737-266,SU-AYH,21191/450,103,60,0,"Hijacking. While on the ground at Malta to refuel the aircraft was stormed by Egyptian forces. During the fight, several hand grenades were thrown into the cabin causing a fire.","35.8582865,14.4868883",35.8582865,14.4868883
10/11/1985,10:09," Kutayissi, USSR",Aeroflot,,,Yakovlev YAK-40,CCCP-87803,9230923,14,14,0,Crashed into a mountain slope after taking off in bad weather. Instructions to climb normally were delayed because of traffic.,"42.2662428,42.7180019",42.2662428,42.7180019
8/2/1985,18:06,"Ft. Worth-Dallas, Texas",Delta Air Lines,191,Fort Lauderdale - Dallas-Fort Worth,Lockheed L-1011-1 TriStar,N726DA,1163,163,134,1,"While on a flight from Fort Lauderdale, FL to Dallas/ Forth Worth, the aircraft crashed while making an landing attempt in thunderstorm activity. The plane touched down 6,000 feet short of the runway and 360 feet to the left of the runway centerline, became airborne again, struck a car killing the driver, crossed the highway and crashed into two water tank reservoirs. Microburst induced windshear. The flightcrew's decision to initiate and continue the approach into a cumulonimbus cloud which they observed to contain lightning. Lack of training for avoiding and escaping from low-altitude windshear.","32.7078751,-96.9209135",32.7078751,-96.9209135
7/10/1985,23:45,Uzbekistan,Aeroflot,7425,Karshi - Leningrad,Tupolev TU-154B-2,CCCP-85311,311,200,200,0,The aircraft went into an uncontrolled descent from FL 400 and crashed.,"41.3774910,64.5852620",41.377491,64.585262
6/23/1985,7:15,"AtlantiOcean, 110 miles West of Ireland",Air India,182,Montreal - London,Boeing B-747-237B,VT-EFO,21473/330,329,329,0,"The aircraft broke up in flight and crashed into the ocean. Detonation of an explosive device in the forward cargo hold. Terrorist working in Vancouver, Canada, checked baggage with bombs onto two flights. One bag transferred at Toronto onto flight 182. The other would have been transferred at Tokyo onto another Air India flight, but exploded at the airport killing 2 baggage handlers. The aircraft was named 'Kanishka.'","53.1423672,-7.6920536",53.1423672,-7.6920536
4/16/1985,11:37,"Las Cruces, New Mexico",American Airlines,,"Dallas, TX - San Diego, CA",Boeing B-727-227,N718AA,20611/894,89,0,0,While cruising at FL 350 a loud noise was heard followed by a severe jolt. The No. 3 engine separated from the aircraft. A damaged O ring allowed leakage from the forward lavatory waste drain valve. Four gallons of fluid leaked and froze on the exterior of the plane and then broke away in chunks and smashed into the engine. They plane landed safely.,"32.3199396,-106.7636538",32.3199396,-106.7636538
4/15/1985,23:30," Phuket, Thailand",Thai Airways,,,Boeing B-737-200,HS-TBB,21810/604,11,11,0,The aircraft hit high ground during good weather conditions and after transmitting an emergency message that they had lost both engines.,"7.9519331,98.3380884",7.9519331,98.3380884
2/1/1985,,"Minsk, Belarus, USSR",Aeroflot,,Minsk - Leningrad,Tupolev TU-134A,CCCP-65910,63971,80,58,0,The aircraft crashed shortly after taking off from Minsk. Icing. Double engine failure.,"53.9006011,27.5589720",53.9006011,27.558972
12/23/1984,18:10," Kranoyarsk, Russia",Aeroflot,3519,,Tupolev TU-154B-2,CCCP-85338,338,110,110,0,The aircraft crashed while attempting an emergency landing after the No. 3 engine caught fire. Failure of a  compressor.,"56.0152834,92.8932476",56.0152834,92.8932476
12/4/1984,," Kostroma, USSR",Aeroflot,,,LET 410 M,CCCP-67225,770706,10,10,0,,"57.7677078,40.9262609",57.7677078,40.9262609
10/11/1984,5:40," Omsk, Russia",Aeroflot,3352,Krasnodar - Omsk,Tupolev TU-154B,CCCP-85243,243,179,174,4,"While landing, the crew noticed something on the runway, took evasive action and crashed into two cleaning vehicles. The flying control officer (ATC)  fell asleep and did not inform the controllers cleaning vehicles were on the runway.","54.9913545,73.3645204",54.9913545,73.3645204
8/5/1984,,"Nawabshah, Pakistan",Aeroflot,,Karachi - Tashkent,Antonov AN-12BP,CCCP-10232,,24,24,0,The plane flew into severe weather and hail penetrated the oil radiatiors. Power was lost in all four engines and load limits were exceeded during an emergency descent. The plane broke up and crashed.,"26.2446966,68.3935487",26.2446966,68.3935487
1/28/1984,,"Izhevsk, Russia",Aeroflot,,,Antonov An-24RV,CCCP-47358,67310607,47,4,0,The aircraft crashed after the elevator failed. Disconnection of the linkage of the elevators control rod.,"56.8618601,53.2324284",56.8618601,53.2324284
12/24/1983,,"Leshukonskoye, Russia",Aeroflot,,Arkhangelsk - Leshukonskoye,Antonov AN-24,CCCP-46617,37308704,49,44,0,"The airliner crashed on approach in adverse weather. Instead of a go-around the pilot put the plane in a tight turn to the right with a high slip angle, leading to a loss of airspeed. After descending through decision height the pilot attempted a go-around but the plane rolled to the left and lost altitude. After the bank angle reached 90 degrees the aircraft crashed short of  the runway.","64.8973466,45.7651734",64.8973466,45.7651734
11/27/1983,10:06,"Madrid-Barajas, Spain",AVIANCA,11,Paris - Madrid - Bogota,Boeing B-747-283B,HK-2910,21381,192,181,0,"While attempting to land at Madrid, the crew intercepted the wrong ILS track which caused the pilot to initiate a right turn short of the VOR beacon. The aircraft impacted a series of hills during which the right wing broke off, the aircraft cartwheeled and broke into 5 pieces and came to rest upside down. Procedural errors by the crew including the pilot not knowing his precise position before descending, failure of the crew to take corrective action after a warning from the  ground proximity warning system and deficient teamwork on the flight deck.  The aircraft was named 'Magnus Viking,' LN-RNA and dry-leased from SAS.","40.4653704,-3.5951518",40.4653704,-3.5951518
9/23/1983,15:30," Mina Jebel Ali, UAE",Gulf Air,771,Karachi - Abu Dhabi,Boeing B-737-2P6,A40-BK,21734/566,112,112,0,Crashed  into the desert after a distress message and during an emergency landing attempt. Detonation of an explosive device in the baggage compartment.,"24.9857145,55.0272904",24.9857145,55.0272904
8/30/1983,23:17,"Alma-Ata, Kazakastan, USSR",Aeroflot,,Kazan - Chelyabinsk - Alma-Ata,Tupolev TU-134A,CCCP-65129,60630,90,90,0,Crashed an burned after striking mountain  while attempting to land. Procedural errors.,"43.2220146,76.8512485",43.2220146,76.8512485
7/23/1983,19:30,"Gimli, Manitoba, Canada",Air Canada,143,Ottawa - Edmonton,Boeing B-767-233ER,C-GAUN,22520/47,69,0,0,"The aircraft took off from Ottawa bound for Edmonton with less than half the fuel required to make the trip. A computer known as the 'Fuel Quantity Information System Processor'  was not working properly so the ground crew made manual calculations for the amount of needed fuel. However, they used pounds/liter for the specifigravity factor instead of kilograms/liter. This was first model of aircraft of Air Canada to use kilograms. The aircraft ran out of fuel at 41,000 feet. With only standby instruments (magneticompass, artificial horizon, airspeed indicator and altimeter) and no slats or flaps, the plane landed safely on a 7,200 ft. runway at Gimli, a former Air Force base converted into a racing drag strip. The plane became known as the 'Gimli Glider.'  The TV movie Falling from the Sky: Flight 174 was made about this incident in 1995.","50.6320809,-96.9886746",50.6320809,-96.9886746
6/2/1983,19:20,"Cincinnati International Airport, Covington/Hebron, Kentucky",Air Canada,797,Dallas-Fort Worth - Toronto,McDonnell Douglas DC-9-32,C-FTLU,47196/278,46,23,0,"The plane was on a flight from Houston to Toronto with an intermediate stop at Dallas - Fort Worth.  An in-flight fire in the rear lavatory, of unknown origin, forced the plane to make an emergency landing at Cincinnati International Airport. Fatalities occurred from smoke inhalation and a flash fire that erupted when exit doors were opened. Underestimation of the fire severity and conflicting fire progress reports to the captain delayed a quicker emergency landing. Canadian folk singer Stan Rogers, 33,  killed. He was going home after attending the Kerrville Folk Festival in Texas. He died in the fire while helping other passengers to safety.","39.0532746,-84.6630165",39.0532746,-84.6630165
4/19/1983,18:09,"Leninakan, Russia",Aeroflot,,Nalchik - Leninakan,Yakovlev YAK-40,CCCP-87291,9320628,21,21,0,The crew deviated from course while descending to land. Navigational error. ATC procedural error in not identifying the planes position.,"47.3074269,39.6434982",47.3074269,39.6434982
1/11/1983,2:50,"Detroit, Michigan",United Air Lines,2885,Detroit - Los Angeles,McDonnell Douglas DC-8-54F37,N8053U,46010/406,3,3,0,"After taking off the cargo plane rolled to the right with wings vertical to the ground until it crashed into a field. The flight crew's failure to follow procedural checklist requirements and to detect and correct a mistrimmed stabilizer before the aircraft became uncontrollable. Contributing to the accident was the captain allowing the second officer, who was not qualified to act as a pilot, to occupy the seat of the first officer and to conduct the take-off.","42.3314270,-83.0457538",42.331427,-83.0457538
12/23/1982,,"Rostov-on-Don, Russia",Aeroflot,,,Antonov AN-26,CCCP-26627,5208,16,16,0,,"47.2357137,39.7015050",47.2357137,39.701505
9/29/1982,,"Luxembourg, Luxembourg",Aeroflot,343,Moscow - Luxembourg,Ilyushin IL-62M,CCCP-86470,72503,77,7,0,"The aircraft swerved to the right after landing, sideswiped a water tower, crashed into a building and continued into a revine where it exploded and burned. Failure of the control mechanism on the No.1 engine reverser.","49.6116210,6.1319346",49.611621,6.1319346
7/6/1982,0:05,"Moscow, Russia",Aeroflot,411,,Ilyushin IL-62M,CCCP-86513,4037536,90,90,0,The aircraft crashed and burned in field shortly after takeoff. Failure of the aircraft's power plant fire warning system due to design deficiencies which resulted in false fire indications in both engines.,"55.7558260,37.6172999",55.755826,37.6172999
6/28/1982,10:50,"Southern Belarus, USSR",Aeroflot,8641,Leningrad - Kiev,Yakovlev YAK-42,CCCP-45229,8040104,132,132,0,"From an altitude of 30,000 ft., a malfunction occurred causing the aircraft to crash 125 miles from its destination. In-flight failure and jamming of stabilizer screw-jack mechanism due to wear.","53.7098070,27.9533890",53.709807,27.953389
6/24/1982,20:44,"Mount Galunggung, Indonesia",British Airways,9,Kuala Lampur - Perth,Boeing B-747,G-BDXH,21635/365,257,0,0,"The aircraft flew into a plume from a volcanieruption at 37,000 feet during the night. All engines failed and the windshield lost transparency because of pitting. The first engine was restarted at 12,000 feet, followed by the other three and the plane landed safely at Jakarta. The aircraft was named 'City of Edinburgh.'","-7.2666667,108.0716667",-7.2666667,108.0716667
6/22/1982,,"Bombay, India",Air India,,Kuala Lumpur - Mumbai,Boeing B-707-437,VT-DJJ,17723/100,111,17,0,The crew initiated a go-around after a heavy landing and a subsequently bounced lifted off the runway but descended back onto the ground and broke up. Deliberate reduction of engine power by the pilot 12 seconds prior to first impact due to altitude unawareness resulting in a high rate of descent and very hard landing. The aircraft was named 'Gaurishankar.',"19.0759837,72.8776559",19.0759837,72.8776559
1/7/1982,," Gelendzhik, USSR",Aeroflot,,,LET  410M Turbojet,CCCP-67290,781101,18,18,0,The aircraft crashed into high ground.,"44.5620352,38.0904574",44.5620352,38.0904574
11/16/1981,19:30,"Norilsk, Russia",Aeroflot,,Krasnoyarsk - Norilsk,Tupolev TU-154B-2,CCCP-85480,81A-480,167,99,0,The plane acquired excessive vertical speed and descended below the glideslope while attempting to land. The aircraft impacted terrain in an open field and slid across frozen ground for about 300 m. The high descent rate could not be countered by applying maximum elevator trim. Malfunctioning elevator.,"69.3557900,88.1892939",69.35579,88.1892939
11/8/1981,,"Sierra de Guerro, Mexico",Aeromexico,,Acapulco - Guadalajara,McDonnell Douglas DC-9-32,XA-DEO,47622/753,18,18,0,The flight struck a mountain during an emergency descent due to explosive decompression. Crew's failure to follow approved emergency procedures.,"18.2820769,-99.4665730",18.2820769,-99.466573
8/29/1981,20:30,"Zeya, Russia",Aeroflot,,Chita - Zeya,Yakovlev YAK-40,CCCP-87346,9511539,34,3,0,"Flew into trees short and to the right of the runway, crashed and caught fire. Crew descended below minimums without visual contact with the ground.","53.7359301,127.2585213",53.7359301,127.2585213
7/27/1981,,"Chihuahua, Mexico",Aeromexico,230,Monterey - Chihuahua,McDonnell Douglas DC-9-32,XA-DEN,47621/729,66,30,0,"While landing in adverse weather conditions, the aircraft landed right of the runway, bounced and struck the ground. The fuselage broke in two and caught fire. Thunderstorms and strong turbulence in the area associated with a tropical air mass.","28.6329957,-106.0691004",28.6329957,-106.0691004
6/13/1981,,"Ust-Barguzin, Russia",Aeroflot,,Ulan - Severomuysk,Ilyushin Il-14,CCCP-41838,147001141,52,52,0,The crew informed ATC they could see the field but crashed 30 km from the airport.,"53.4123591,109.0339077",53.4123591,109.0339077
7/7/1980,0:39,"Nar Alma-Ata, Kasakastan, USSR",Aeroflot,4225,Alma Ata - Simferopol,Tupolev TU-154B,CCCP-85355,355,166,166,0,The aircraft crashed and burned in a field 2 minutes after takeoff. Windshear.,"43.2220146,76.8512485",43.2220146,76.8512485
6/12/1980,," Dushanbe, Russia",Aeroflot,,,Yakovlev YAK-40,CCCP-87689,9910403,29,29,0,Struck a mountain.,"38.5746555,68.7933562",38.5746555,68.7933562
4/27/1980,6:55,"Don Muang, Thailand",Thai Airways,231,Khon Kaen - Bangkok,Hawker Siddeley HS-748-2,HS-THB,1568,53,44,0,"The aircraft entered a thunderstorm, was caught in a downdraft and struck the ground 8 nm northeast of Bangkok International Airport. The pilot directed the aircraft into a thunderstorm in an early dissipating stage.  The aircraft was severely affected by a downdraft and lost altitude rapidly. At that time, the altitude of the aircraft was 1,500 ft. and the pilot could not maintain altitude. Procedural error by the pilot. Was not tuned to weather warning, did not use his weather radar and flew into an area of severe weather.","13.9254892,100.5923206",13.9254892,100.5923206
12/9/1979,,"Cherskiy, Russia",Aeroflot,,,Antonov AN-26,CCCP-26547,2810,7,7,0,Shifting cargo caused the pilot to lose control and crash into a hotel.,"68.7426770,161.3507839",68.742677,161.3507839
11/28/1979,12:49," Mt. Erebus, Ross Ice Shelf, Antarctica",Air New Zealand,901,Auckland - Christchurch,McDonnell Douglas DC-10-30,ZK-NZP,46910/182,257,257,0,"The aircraft crashed into the slopes of Mt. Erebus while on sightseeing flight to Antarctica. An incorrect computer-stored flight plan resulted in a navigational error directing the flight towards Mt. Erebus. Because of overcast, the crew descended below authorized altitude. Contributing to the accident was the crew's inexperience with flying the Antarctiroute. Information about the navigational errors was suppressed by officials.","-81.4999691,-174.9999732",-81.4999691,-174.9999732
11/16/1979,18:40,"Vologda, Russia",Aeroflot,,Positioning,Yakovlev YAK-40,CCCP-87454,9431136,5,3,0,The plane descended below the decision height without having established ground contact and crashed into a wooded area.,"59.2180665,39.8978053",59.2180665,39.8978053
11/15/1979,12:00," Chicago, Illinois",American Airlines,444,Chicago - Washington D.C.,Boeing B-727,,,78,0,0,"While en route from Chicago to Washington an explosive device detonated in the baggage compartment. The aircraft was flying at an altitude of approximately 34,500 feet, when the flight crew experienced a noise which they described as a thump. Smoke subsequently filled the cabin and the aircraft was forced to make an emergency landing at Washington-Dulles Airport. The bomb was planted by the Unabomber, a man who had been accused of attacks over an 18-year period. He was arrested in April 1996 and subsequently received a life sentence.","41.8781136,-87.6297982",41.8781136,-87.6297982
9/3/1979,,Russia,Aeroflot,,,Antonov AN-24,CCCP-46269,77303602,43,40,0,,"61.5240100,105.3187560",61.52401,105.318756
8/29/1979,," Kirsanov, Russia",Aeroflot,,,Tupolev TU-124,CCCP-45038,3351003,63,63,0,The aircraft lost control and crashed after an uncommanded flap extension at FL270.,"52.6532692,42.7207435",52.6532692,42.7207435
8/23/1979,,Russia,Aeroflot,,Norisk - Krasnoyarsk,Antonov AN-12,CCCP-12963,9346407,16,11,0,Crashed into a wooded area after all four engines flamed out. Fuel contamination.,"61.5240100,105.3187560",61.52401,105.318756
8/3/1979,,"Leningrad, USSR",Aeroflot,,,LET 410M turbojet,CCCP-67206,760509,14,14,0,Crashed due to engine failure on approach.,"59.9310584,30.3609096",59.9310584,30.3609096
5/25/1979,15:04,"Chicago O'Hare, Illinois",American Airlines,191,"Chicago, IL- Los Angeles, CA",McDonnell Douglas DC-10-10,N110AA,46510/22,271,271,2,"During takeoff just, as the plane lifted from the runway, the left engine and pylon separated from the aircraft damaging the wing and hydraulisystem which caused the aircraft to roll and crash. Highest single plane death toll in U.S. aviation history. Asymmetrical stall and the ensuing roll of the aircraft because of the uncommanded retraction of the left wing outboard leading edge slats and the loss of stall warning and slat disagreement indication systems caused by separation of the engine and pylon. Improper maintenance procedures used by American Airlines when dismounting the engines for maintenance, by removing the pylon and engine together, putting strain on the engine mounts leading to  stress cracks.","41.9772983,-87.8368909",41.9772983,-87.8368909
4/25/1979,,"Baykity, Russia",Aeroflot,,,Antonov AN-26,CCCP-26569,3809,4,4,0,Crashed on approach.,"61.6833669,96.3806203",61.6833669,96.3806203
3/22/1979,0:55,"Liepaya, Latvia",Aeroflot,,Gorkiy - Liepaya,Tupolev 134A,CCCP-65031,48530,5,4,0,"The plane descended too quickly, power was applied but the plane struck trees and crashed. The plane was allowed in below minima conditions.","56.5046678,21.0108060",56.5046678,21.010806
3/20/1979,,Chardzhow,Aeroflot,,,Yakovlev YAK-40,CCCP-78390,9410233,29,29,0,The plane crashed after entering the wake turbulence of a helicopter.,"39.0041313,63.5688080",39.0041313,63.568808
3/17/1979,19:44," Moscow, Russia",Aeroflot,,Moscow - Odessa,Tupolev TU-104B,CCCP-42444,921001,106,86,0,The aircarft crashed in freezing rain and fog shortly after taking off. The aircraft was overloaded. The pilot had very little experience flying aircraft type.,"55.7558260,37.6172999",55.755826,37.6172999
2/19/1979,,"Barentu, Ethiopia",Ethiopian Airlines,,,Douglas DC-3,ET-AFW,16681/33429,5,5,0,The plane crashed after a bomb exploded aboard.,"15.1074513,37.5907446",15.1074513,37.5907446
2/17/1979,14:35,"Manakau Harbor, New Zealand",Air New Zealand,,Gisborne - Auckland,Fokker F-27 Friendship 500,ZK-NFC,10456,4,2,0,Flew into the water while on ILS approach. The crew was misled by a visual illusion in conditions of reduced visibility into believing they were at a safe height and consequently failed to monitor the flight instruments sufficiently to confirm their aircraft maintained a safe approach path.,"-37.0342098,174.6541497",-37.0342098,174.6541497
1/18/1979,," Belgorod, Russia",Aeroflot,,Training,Let 410M,CCCP-67210,760513,3,3,0,,"50.5997134,36.5982621",50.5997134,36.5982621
1/15/1979,,"Minsk, Russia",Aeroflot,,,Antonov AN-24N,CCCP46807,67302207,13,13,0,,"53.9260707,27.5435473",53.9260707,27.5435473
12/28/1978,18:15,"Portland, Oregon",United Air Lines,173,Denver - Portland,McDonnell Douglas DC-8-61,N8082U,45972/357,189,10,0,"While on a flight from Denver to Portland, the aircraft ran out of fuel while the crew was distracted with a landing gear problem. Failure of the captain to monitor properly the aircraft's fuel state and to properly respond to the low fuel state as indicated by other crew members. Contributing to the accident was the failure of the other two flight crew members either to fully comprehend the criticality of the fuel state or to successfully communicate their concern to the captain.","45.5051064,-122.6750261",45.5051064,-122.6750261
12/23/1978,0:39," Cinisi, Sicily, Italy",Alitalia,4128,Rome - Palermo,McDonnell Douglas DC-9-32,I-DIKQ,47227/334,129,108,0,The aircraft crashed into ocean during a landing approach. Poor monitoring of altitudes and too early a transition from ILS to visual flight procedures.,"38.1550870,13.1088097",38.155087,13.1088097
10/23/1978,,"Gulf of Sivash, USSR",Aeroflot,,,Antonov AN-24B,CCCP-46327,97305504,26,26,0,,"46.0833330,34.3333330",46.083333,34.333333
10/7/1978,,"Sverdlovsk, Russia",Aeroflot,,,Yakovlev YAK-40,CCCP-87437,9431335,38,38,0,Crashed after the left engine flamed out on takeoff.,"56.8430993,60.6454086",56.8430993,60.6454086
6/26/1978,8:08,"Toronto, Canada",Air Canada,189,Toronto - Winnipeg,McDonnell Douglas DC-9-32,C-FTLV,47197,107,2,0,"The aircraft overran the runway and crashed into a revine after an aborted takeoff due to a blown tire. The No. 3 tire failed on takeoff and debris damaged the right gear 'down and locked' switch, causing a gear unsafe indication in the cockpit. Debris was also ingested by the No. 2 engine causing a loss of reverse thrust during the rejected takeoff.","43.6532260,-79.3831843",43.653226,-79.3831843
5/19/1978,,"Pochinok, Russia",Aeroflot,,Baku - Leningrad,Tupolev TU-154B,CCCP-85169,76A-169,134,4,0,The flight engineer accidentally shut off the automatitransferring of fuel from the sump tank. Eventually all three engines stopped and the plane crashed. Fuel starvation.,"54.4053326,32.4396380",54.4053326,32.439638
3/1/1978,9:25,"LAX, Los Angeles, California",Continental Airlines,603,Los Angeles - Honolulu,McDonnell Douglas DC-10-10,N68045,46904,200,2,0,"While approaching V1 speed on takeoff, a loud bang was heard followed by shaking of the aircraft. The crew decided to abort the takeoff. With the end of the runway approaching, the captain steered the aircraft off the runway to the right. The landing gear failed and resulted in a fire. The plane slid for approximately 650 feet and came to rest 40 feet right of the runway centerline. Several passengers not heeding the warnings of the stewardess exited onto the wing and fell into the fire. Failure of two tires on the left main landing gear resulting in failure of a third tire during a critical point in the takeoff. This was to be pilot Gene Hershe's last flight before retiring.","33.9428100,-118.4047090",33.94281,-118.404709
1/1/1978,20:15,"Off Bandra, Maharashtra, India",Air India,855,Bombay - Dubai,Boeing B-747-237B,VT-EBD,19959/124,213,213,0,"Following a right turn, after taking off, the plane rolled to the left beyond 90 degrees, went into a steep dive, crashed and exploded in shallow water. Irrational control wheel inputs on the part of the captain after his attitude director indicator malfunctioned leading to complete loss of situational awareness.","19.0595596,72.8295287",19.0595596,72.8295287
12/18/1977,1:38," Salt Lake City, Utah",United Air Lines,,"San Francisco, CA - Salt Lake City, Utah",Douglas DC-8-54F,N8047U,45880/275,3,3,0,"While in a holding pattern because of electrical problems the cargo plane cashed into 7,600 ft. mountain. The approach controller's issuance and the flight crew's acceptance of an incomplete and ambiguous holding clearance in combination with the flight crew's failure to adhere to prescribed impairment-of-communications procedures and prescribed holding procedures. The controller's and flight crew's actions are attributed to probable habits of imprecise communication and of imprecise adherence to procedures developed through years of exposure to operations in a radar environment. Contributing to the accident was the failure of the aircraft's No.1 electrical system for unknown reasons.","40.7607793,-111.8910474",40.7607793,-111.8910474
12/9/1977,,"Tarko-Saley, USSR",Aeroflot,,,Antonov AN-24,CCCP-47695,27307602,23,17,0,,"64.9120778,77.7636861",64.9120778,77.7636861
12/4/1977,20:15,"Straits of Johore,  Kampung Ladang, Malaysia",Malaysia Airlines,653,Penang - Kuala Lumpur,Boeing B-737-2H6,9M-MBD,20585/306,100,100,0,"During a hijacking and while descending from 21,000 to 7,000 feet, both pilots were shot and the aircraft crashed into a swamp.","1.3610710,103.6136621",1.361071,103.6136621
11/19/1977,4:12,"Rome, Italy",Ethiopian Airlines,,"Rome, Italy - Asmara, Ethiopia",Boeing 707-360C,ET-ACD,19736/696,5,5,0,The cargo plane failed to gain altitude and crashed into trees.,"41.9027835,12.4963655",41.9027835,12.4963655
11/3/1977,,"Belgrade, Yugoslavia",El Al,,,Boeing B-747,,,,1,0,Explosive decompression.,"44.7865680,20.4489216",44.786568,20.4489216
7/20/1977,17:30,"Jima, Ethiopia",Ethiopian Airlines,,Tippi - Jima,Douglas DC-3,ET-ABF,6069,5,5,0,"The cargo plane crashed into a mountainside in poor weather, visibility and rain showers.","7.6738908,36.8357927",7.6738908,36.8357927
7/8/1977,,"Off Kirovograd, Ukraine",Aeroflot,,,Antonov AN-24,CCCP-46847,27307505,7,6,0,Crashed into the Black Sea shortly after taking off from Kirovograd.,"48.5079330,32.2623170",48.507933,32.262317
5/27/1977,,"Havana, Cuba",Aeroflot,,,Ilyushin IL-62M,CCCP-86614,51903,70,68,1,Struck power lines and crashed while attempting to land.,"23.1135925,-82.3665956",23.1135925,-82.3665956
3/30/1977,,Russia,Aeroflot,,,Yakovlev YAK-40,CCCP-87738,9010310,27,8,0,Crashed in fog.,"61.5240100,105.3187560",61.52401,105.318756
2/15/1977,,"Mineralnye Vody, Russia",Aeroflot,,Tashkent - Mineralnyye Vody,Ilyushin IL-18V,CCCP-75520,183006703,77,77,0,The plane crashed after an aborted landing.,"44.2116750,43.1238527",44.211675,43.1238527
1/13/1977,18:15," Alma Ata,  Kazakastan, USSR",Aeroflot,3843,Novosibirsk - Alma Ata,Tupolev TU-104A,CCCP-42369,86601203,96,96,0,"The aircraft was preparing to land when it was informed by the tower that its left engine was on fire. Shortly thereafter, the plane exploded and crashed 2 miles short of the runway.","43.2220146,76.8512485",43.2220146,76.8512485
12/25/1976,3:45,"Bangkok, Thailand",EgyptAir,864,Cairo - Bangkok,Boeing B-707-366C,SU-AXA,20763,53,53,19,The aircraft crashed into an industrial area during a landing attempt. Lack of altitude awareness and disorientation leading to an uncontrolled descent. Crew did not make use of navigational aids.,"13.7563309,100.5017651",13.7563309,100.5017651
12/17/1976,,"Kiev, USSR",Aeroflot,,,Antonov AN-24RV,CCCP-46672,47309604,55,48,0,The flight crashed in fog while making a landing attempt.,"50.4501000,30.5234000",50.4501,30.5234
11/28/1976,19:00,"Moscow, Russia",Aeroflot,,Moscow - Leningrad,Tupolev TU-104B,CCCP-42471,21204,72,72,0,The plane crashed during takeoff in poor weather conditions.,"55.7558260,37.6172999",55.755826,37.6172999
